"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"8071615","","February 20, 2026 at 4:05 PM","Burlington","Maple St","MAPLE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003398","Burlington PD","2","0.614","None/Other","Day","S Willard St","None","None","","VT0040100","Not at a Junction","","Maple St","","0000","44.47393095740014,-73.20587274330946"
"8144635","","February 20, 2026 at 4:18 PM","Burlington","76 Hardy Ave","HARDY AVE","Property Damage Only","","","Street or Town Highways in FA Urban Area","26BU003401","Burlington PD","5","999.99","None/Other","Day","Derway Dr","None","None","","VT0040100","Not at a Junction","","76 Hardy Ave","","0000","44.52445322613901,-73.26777463586097"
"8040847","","February 20, 2026 at 5:22 PM","Burlington","509 Main St","US-2","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003405","Burlington PD","11","0.317","None/Other","Night","509 Main St","None","None","","VT0040100","Not at a Junction","","509 Main St","","0020","44.47638472949855,-73.1990013117093"
"8041256","","February 20, 2026 at 5:28 PM","Burlington","College St","COLLEGE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003407","Burlington PD","2","0.003","None/Other","Night","Battery St","None","None","","VT0040100","Four-way Intersection","","College St","","0000","44.47687637131373,-73.21870709727536"
"8043953","","February 20, 2026 at 8:46 PM","Burlington","82 Shelburne St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003417","Burlington PD","11","1.184","None/Other","Night","82 Shelburne St","None","None","","VT0040100","Traffic circle / roundabout","","82 Shelburne St","","0070","44.46276520473349,-73.20784613703746"
"8041620","","February 21, 2026 at 5:50 AM","Burlington","Shelburne St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003435","Burlington PD","11","1.036","None/Other","Night","Hoover St","None","None","","VT0040100","T - Intersection","","Shelburne St","","0070","44.46066070116292,-73.20808255816674"
"8144906","","February 21, 2026 at 1:29 PM","Burlington","131 Catamount Way","CATAMOUNT WAY","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26UV001357","UVM Police","9","999.99","None/Other","Day","","None","None","","VT0041100","Parking Lot","","131 Catamount Way","","0000","44.47073898877045,-73.19454143127598"
"8063304","","February 21, 2026 at 4:59 PM","Burlington","360 Main St","US-2","Property Damage Only","Rear End","Clear","State Highway numbered route, Class 1 TH","26BU003457","Burlington PD","11","0.007","None/Other","Day","S Willard St","None","None","","VT0040100","Four-way Intersection","None","360 Main St","Dry","0020","44.476197250344654,-73.20535888557396"
"8041197","","February 21, 2026 at 6:05 PM","Burlington","Route 127 - Beltline","VT ROUTE 127","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003463","Burlington PD","2","0.002","None/Other","Night","Manhattan Dr","None","None","","VT0040100","T - Intersection","","Route 127 - Beltline","","0000","44.48752529604653,-73.21943730298636"
"8041498","","February 21, 2026 at 7:25 PM","Burlington","S Willard St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003468","Burlington PD","11","1.676","None/Other","Night","Cliff St","None","None","","VT0040100","Four-way Intersection","","S Willard St","","0070","44.46978877257725,-73.20501780861007"
